Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LNL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LNL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LNL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LNL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LNL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LNL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LNL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LNL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Bareland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
234,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
239,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
242,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
244,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
246,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
247,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
248,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
253,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
258,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
259,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
260,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
262,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
