Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
87,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
92,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
93,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
94,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
189,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
197,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Bareland
198,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
229,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Built-up
232,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Bareland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
247,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
265,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
266,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
270,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Water
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Bareland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
281,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Bareland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
285,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
292,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Bareland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Bareland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
315,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
317,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
318,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
319,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
321,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
322,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
