Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Bareland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Bareland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
229,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
232,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
234,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,NULL
236,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,NULL
238,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
