Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
10,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
11,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
12,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
13,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
14,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
15,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
16,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
17,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
21,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
22,NULL,NULL,Water,Water,Water,NULL,NULL,Water
23,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
29,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
30,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
31,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
32,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
