Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
125,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
127,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
128,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
132,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
133,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,NULL
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
283,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
284,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
285,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
286,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
287,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
288,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
289,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Wetland
291,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
292,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
293,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
294,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
299,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
302,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
304,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
324,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
325,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
