Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Water
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
29,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
30,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,NULL
32,NULL,NULL,Wetland,NULL,Wetland,Grassland
33,NULL,NULL,Wetland,NULL,Wetland,Wetland
34,NULL,NULL,Wetland,NULL,Wetland,Built-up
35,NULL,NULL,Wetland,NULL,Wetland,Forest
36,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
37,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
38,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
39,NULL,NULL,Wetland,Non_Water,Wetland,Forest
40,NULL,NULL,Wetland,Water,Wetland,Grassland
41,NULL,NULL,Wetland,Water,Wetland,Wetland
42,NULL,NULL,Wetland,Water,Wetland,Forest
43,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
48,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
49,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
51,NULL,NULL,Water,NULL,Water,Grassland
52,NULL,NULL,Water,NULL,Water,Wetland
53,NULL,NULL,Water,NULL,Water,Forest
54,NULL,NULL,Water,Non_Water,Water,Wetland
55,NULL,NULL,Water,Water,Water,Grassland
56,NULL,NULL,Water,Water,Water,Wetland
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
59,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
60,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Forest,Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,Wetland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
73,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
75,NULL,Cropland,Wetland,NULL,Wetland,Grassland
76,NULL,Cropland,Wetland,NULL,Wetland,Wetland
77,NULL,Cropland,Wetland,NULL,Wetland,Forest
78,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
79,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
80,NULL,Cropland,Wetland,Water,Wetland,Grassland
81,NULL,Cropland,Wetland,Water,Wetland,Wetland
82,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
85,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
86,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
87,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
89,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
91,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
92,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
93,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
94,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
95,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
96,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
97,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
98,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
99,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
100,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
101,NULL,Wetland,Wetland,NULL,Wetland,Grassland
102,NULL,Wetland,Wetland,NULL,Wetland,Wetland
103,NULL,Wetland,Wetland,NULL,Wetland,Built-up
104,NULL,Wetland,Wetland,NULL,Wetland,Water
105,NULL,Wetland,Wetland,NULL,Wetland,Forest
106,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
107,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
108,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
109,NULL,Wetland,Wetland,Water,Wetland,Grassland
110,NULL,Wetland,Wetland,Water,Wetland,Wetland
111,NULL,Wetland,Wetland,Water,Wetland,Built-up
112,NULL,Wetland,Wetland,Water,Wetland,Forest
113,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
114,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
115,NULL,Wetland,Water,Non_Water,Water,Wetland
116,NULL,Wetland,Water,Water,Water,Wetland
117,NULL,Wetland,Water,Water,Water,Water
118,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
119,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
120,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
121,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
122,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
123,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
124,NULL,Bareland,Wetland,NULL,Wetland,Forest
125,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
135,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
136,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
137,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
138,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
144,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
145,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
146,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
147,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
153,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
154,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
155,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
156,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
157,NULL,Built-up,Cropland,Water,Non_Wetland,Wetland
158,NULL,Built-up,Wetland,NULL,Wetland,Grassland
159,NULL,Built-up,Wetland,NULL,Wetland,Wetland
160,NULL,Built-up,Wetland,NULL,Wetland,Built-up
161,NULL,Built-up,Wetland,NULL,Wetland,Water
162,NULL,Built-up,Wetland,NULL,Wetland,Forest
163,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
164,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
165,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
166,NULL,Built-up,Wetland,Non_Water,Wetland,Water
167,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
168,NULL,Built-up,Wetland,Water,Wetland,Grassland
169,NULL,Built-up,Wetland,Water,Wetland,Wetland
170,NULL,Built-up,Wetland,Water,Wetland,Built-up
171,NULL,Built-up,Wetland,Water,Wetland,Water
172,NULL,Built-up,Wetland,Water,Wetland,Forest
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
181,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
182,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
183,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
184,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
185,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
186,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
187,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
188,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
189,NULL,Built-up,Built-up,Water,Non_Wetland,Water
190,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
191,NULL,Built-up,Water,Non_Water,Water,Wetland
192,NULL,Built-up,Water,Non_Water,Water,Water
193,NULL,Built-up,Water,Non_Water,Water,Forest
194,NULL,Built-up,Water,Water,Water,Grassland
195,NULL,Built-up,Water,Water,Water,Water
196,NULL,Built-up,Water,Water,Water,Forest
197,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
199,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
201,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
202,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
203,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
204,NULL,Built-up,Forest,Water,Non_Wetland,Wetland
205,NULL,Built-up,Forest,Water,Non_Wetland,Forest
206,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
207,NULL,Water,Shrubland,Water,Non_Wetland,Water
208,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
209,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
210,NULL,Water,Wetland,NULL,Wetland,Grassland
211,NULL,Water,Wetland,NULL,Wetland,Wetland
212,NULL,Water,Wetland,NULL,Wetland,Built-up
213,NULL,Water,Wetland,NULL,Wetland,Water
214,NULL,Water,Wetland,NULL,Wetland,Forest
215,NULL,Water,Wetland,Non_Water,Wetland,Grassland
216,NULL,Water,Wetland,Non_Water,Wetland,Wetland
217,NULL,Water,Wetland,Non_Water,Wetland,Built-up
218,NULL,Water,Wetland,Non_Water,Wetland,Water
219,NULL,Water,Wetland,Non_Water,Wetland,Forest
220,NULL,Water,Wetland,Water,Wetland,Grassland
221,NULL,Water,Wetland,Water,Wetland,Wetland
222,NULL,Water,Wetland,Water,Wetland,Water
223,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
224,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
225,NULL,Water,Built-up,Water,Non_Wetland,Grassland
226,NULL,Water,Built-up,Water,Non_Wetland,Built-up
