Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
179,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
180,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
184,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,NULL
185,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
186,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
187,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
