Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFD_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
59,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
79,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
80,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
81,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
82,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
83,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
84,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
85,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
86,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
87,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
88,NULL,NULL,Water,Water,Water,NULL,NULL,Water
89,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
111,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
115,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
116,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
118,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
119,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
120,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
121,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
122,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
123,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
124,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
125,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
126,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
127,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
128,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
129,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
130,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
131,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
132,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
133,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
136,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
138,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
139,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
140,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
141,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
142,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
143,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
144,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
145,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
146,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
147,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
148,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
149,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
154,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
159,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
161,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
162,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
163,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
164,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
165,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
166,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
167,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
169,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
171,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
180,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
181,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
184,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
185,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
186,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
187,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
191,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
194,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
196,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
202,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
203,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
204,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
205,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
206,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
207,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
208,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
209,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
210,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
211,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
212,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
214,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
215,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
223,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
225,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
226,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
228,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
229,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
230,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
231,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
232,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
233,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
235,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
236,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
239,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
249,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
250,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
252,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
254,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
257,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
258,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
261,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
263,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
264,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
265,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
266,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
267,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
268,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
269,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
270,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
271,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
272,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
273,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
274,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
275,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
278,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
279,NULL,Water,Water,NULL,Water,NULL,NULL,Water
280,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
281,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
282,NULL,Water,Water,Non_Water,Water,NULL,NULL,Wetland
283,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
284,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
285,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
286,NULL,Water,Water,Water,Water,NULL,NULL,Water
287,NULL,Water,Water,Water,Water,NULL,NULL,Forest
288,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
290,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
291,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
294,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
295,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
296,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
297,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
298,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
300,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Wetland
303,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
305,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
306,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
309,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
310,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
313,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
317,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
318,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
319,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
320,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
321,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
322,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
323,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
324,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
325,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
326,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
327,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
328,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
329,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
332,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
333,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
334,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
335,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
336,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
337,NULL,Forest,Water,Water,Water,NULL,NULL,Wetland
338,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
339,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
340,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
341,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
342,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
343,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
344,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
345,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
346,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
347,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
348,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
