Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
217,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
226,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
227,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
230,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
231,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
235,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
238,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
239,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
242,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
246,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
247,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
248,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
