Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMQ_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
118,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Water
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Water
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,NULL,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Cropland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Water,Grassland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
288,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
290,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
291,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
292,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Cropland
293,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
294,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Water
295,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Forest
296,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
297,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
298,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Water
299,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,NULL,Cropland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
306,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Grassland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
309,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
310,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
313,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
314,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
