Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
209,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
213,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
217,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
218,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
220,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
230,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
232,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
233,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
234,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Cropland
237,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
243,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
244,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
246,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
247,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
248,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
249,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
250,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
251,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
252,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
253,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
254,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
255,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
256,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
257,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
258,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
259,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
260,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
261,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
262,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
267,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
268,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
269,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
270,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
271,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
272,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
273,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Cropland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Bareland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
