Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
163,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
164,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
165,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
