Value,AFRICA_2024_DynamicWorld_2024_37NCG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCG_M_R,AFRICA_2024_GSW_Yearly_2021_37NCG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCG_M_R,AFRICA_2024_WorldCover_2021_37NCG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Forest
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,NULL,Wetland,Water,Wetland,Water
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
74,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
76,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
80,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
87,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
89,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
90,NULL,NULL,Forest,NULL,Non_Wetland,Forest
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Forest,Water,Non_Wetland,NULL
95,NULL,NULL,Forest,Water,Non_Wetland,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
97,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
99,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
100,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
101,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
102,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
103,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
105,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
114,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
116,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
117,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
