Value,AFRICA_2024_DynamicWorld_2024_37PHT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,AFRICA_2024_WorldCover_2021_37PHT_M_R
0,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
1,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
2,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
3,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
4,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
5,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
6,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
7,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
8,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
10,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
11,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
12,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
13,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
14,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
15,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
16,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
17,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
18,NULL,Water,Wetland,NULL,Wetland,NULL
19,NULL,Water,Wetland,NULL,Wetland,Wetland
20,NULL,Water,Wetland,Non_Water,Wetland,NULL
21,NULL,Water,Wetland,Water,Wetland,NULL
22,NULL,Water,Wetland,Water,Wetland,Grassland
23,NULL,Water,Wetland,Water,Wetland,Bareland
24,NULL,Water,Wetland,Water,Wetland,Water
25,NULL,Water,Bareland,NULL,Non_Wetland,NULL
26,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
27,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
28,NULL,Water,Bareland,Water,Non_Wetland,Bareland
