Value,AFRICA_2024_DynamicWorld_2024_37PBP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBP_M_R,AFRICA_2024_GSW_Yearly_2021_37PBP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBP_M_R,AFRICA_2024_WorldCover_2021_37PBP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Cropland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Forest
59,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
60,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,NULL,Wetland,Water,Wetland,Cropland
63,NULL,NULL,Wetland,Water,Wetland,Water
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
69,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
73,NULL,NULL,Bareland,NULL,Non_Wetland,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
78,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Water,Non_Wetland,Forest
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,NULL,Water,NULL,Water,Grassland
90,NULL,NULL,Water,NULL,Water,Forest
91,NULL,NULL,Water,Water,Water,Cropland
92,NULL,NULL,Water,Water,Water,Water
93,NULL,NULL,Water,Water,Water,Forest
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL
95,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
97,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
98,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
99,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
100,NULL,NULL,Forest,NULL,Non_Wetland,Forest
101,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
105,NULL,NULL,Forest,Water,Non_Wetland,Grassland
106,NULL,NULL,Forest,Water,Non_Wetland,Cropland
107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
108,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
109,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
111,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
112,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
113,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
114,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
115,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
116,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
