Value,AFRICA_2024_DynamicWorld_2024_37NHJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NHJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHJ_M_R,AFRICA_2024_WorldCover_2021_37NHJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,Water
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL
40,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Water,Non_Wetland,Water
42,NULL,NULL,Wetland,NULL,Wetland,Forest
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
53,NULL,NULL,Bareland,Water,Non_Wetland,Water
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
55,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
58,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
59,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Water,NULL,Water,NULL
61,NULL,NULL,Water,NULL,Water,Grassland
62,NULL,NULL,Water,Non_Water,Water,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
66,NULL,NULL,Forest,NULL,Non_Wetland,Water
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Forest,Water,Non_Wetland,NULL
70,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
71,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
76,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
79,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
84,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
86,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
87,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
89,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
90,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
92,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
93,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
99,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
100,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
102,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
103,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
104,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
105,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
106,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
107,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
108,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
109,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
112,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Water,NULL,NULL,Non_Wetland,NULL
116,NULL,Water,NULL,NULL,Non_Wetland,Grassland
117,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
118,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
119,NULL,Water,Shrubland,NULL,Non_Wetland,Water
