Value,AFRICA_2024_DynamicWorld_2024_36PXV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXV_M_R,AFRICA_2024_GSW_Yearly_2021_36PXV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXV_M_R,AFRICA_2024_WorldCover_2021_36PXV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Cropland
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
29,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
47,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
48,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
49,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
50,NULL,NULL,Grassland,Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
52,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,Water
58,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL
67,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
68,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
69,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
70,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
71,NULL,NULL,Cropland,Water,Non_Wetland,Water
72,NULL,NULL,Cropland,Water,Non_Wetland,Forest
73,NULL,NULL,Wetland,NULL,Wetland,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,Cropland
76,NULL,NULL,Wetland,NULL,Wetland,Wetland
77,NULL,NULL,Wetland,NULL,Wetland,Forest
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL
79,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
80,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
81,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
82,NULL,NULL,Wetland,Non_Water,Wetland,Forest
83,NULL,NULL,Wetland,Water,Wetland,NULL
84,NULL,NULL,Wetland,Water,Wetland,Grassland
85,NULL,NULL,Wetland,Water,Wetland,Cropland
86,NULL,NULL,Wetland,Water,Wetland,Wetland
87,NULL,NULL,Wetland,Water,Wetland,Water
88,NULL,NULL,Wetland,Water,Wetland,Forest
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
91,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
99,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
101,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
104,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
111,NULL,NULL,Water,NULL,Water,Grassland
112,NULL,NULL,Water,NULL,Water,Cropland
113,NULL,NULL,Water,Non_Water,Water,Grassland
114,NULL,NULL,Water,Non_Water,Water,Cropland
115,NULL,NULL,Water,Water,Water,Grassland
116,NULL,NULL,Water,Water,Water,Cropland
117,NULL,NULL,Water,Water,Water,Wetland
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL
119,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
120,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
121,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
122,NULL,NULL,Forest,NULL,Non_Wetland,Forest
