Value,AFRICA_2024_DynamicWorld_2024_37PGK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGK_M_R,AFRICA_2024_GSW_Yearly_2021_37PGK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGK_M_R,AFRICA_2024_WorldCover_2021_37PGK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Cropland,NULL,Non_Wetland,Water
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
32,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
37,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
47,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
48,NULL,NULL,Water,NULL,Water,NULL
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
52,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
57,NULL,NULL,Forest,Water,Non_Wetland,NULL
58,NULL,NULL,Forest,Water,Non_Wetland,Cropland
59,NULL,NULL,Forest,Water,Non_Wetland,Forest
60,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
61,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
62,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
63,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
64,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
71,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
76,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
82,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
83,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
95,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
101,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
102,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
105,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
106,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
107,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
109,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
110,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
111,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
112,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
113,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
114,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
115,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
116,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
117,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
