Value,AFRICA_2024_DynamicWorld_2024_36NXM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,AFRICA_2024_GSW_Yearly_2021_36NXM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,AFRICA_2024_WorldCover_2021_36NXM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
25,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,NULL
27,NULL,NULL,Wetland,NULL,Wetland,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,Wetland
29,NULL,NULL,Wetland,NULL,Wetland,Forest
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
37,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
44,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
45,NULL,NULL,Forest,NULL,Non_Wetland,Forest
46,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
47,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
48,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
49,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
50,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
51,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
56,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
57,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
58,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
59,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
64,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
65,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
66,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
67,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
69,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
70,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
72,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
73,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
74,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
75,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
76,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
77,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
79,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
86,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
87,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
88,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
89,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
90,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
91,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
92,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
93,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
94,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
95,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
96,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
97,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Water,Forest,NULL,Non_Wetland,Grassland
99,NULL,Forest,NULL,NULL,Non_Wetland,NULL
100,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
101,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
102,NULL,Forest,NULL,NULL,Non_Wetland,Forest
103,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
105,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
106,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
108,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
109,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
110,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
111,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
112,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
113,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
114,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
115,NULL,Forest,Wetland,NULL,Wetland,NULL
116,NULL,Forest,Wetland,NULL,Wetland,Wetland
117,NULL,Forest,Wetland,NULL,Wetland,Forest
118,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
