Value,AFRICA_2024_DynamicWorld_2024_36PYR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYR_M_R,AFRICA_2024_GSW_Yearly_2021_36PYR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYR_M_R,AFRICA_2024_WorldCover_2021_36PYR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,NULL,Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
52,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Cropland
56,NULL,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,NULL,Wetland,NULL,Wetland,Water
58,NULL,NULL,Wetland,NULL,Wetland,Forest
59,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
60,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,NULL,Wetland,Water,Wetland,Grassland
64,NULL,NULL,Wetland,Water,Wetland,Cropland
65,NULL,NULL,Wetland,Water,Wetland,Bareland
66,NULL,NULL,Wetland,Water,Wetland,Water
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
80,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
81,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Water,Non_Wetland,Water
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,NULL,Built-up,Water,Non_Wetland,Forest
90,NULL,NULL,Water,NULL,Water,Grassland
91,NULL,NULL,Water,NULL,Water,Bareland
92,NULL,NULL,Water,NULL,Water,Forest
93,NULL,NULL,Water,Non_Water,Water,Grassland
94,NULL,NULL,Water,Water,Water,Cropland
95,NULL,NULL,Water,Water,Water,Wetland
96,NULL,NULL,Water,Water,Water,Bareland
97,NULL,NULL,Water,Water,Water,Water
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
104,NULL,NULL,Forest,NULL,Non_Wetland,Water
105,NULL,NULL,Forest,NULL,Non_Wetland,Forest
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
111,NULL,NULL,Forest,Water,Non_Wetland,Grassland
112,NULL,NULL,Forest,Water,Non_Wetland,Cropland
113,NULL,NULL,Forest,Water,Non_Wetland,Wetland
114,NULL,NULL,Forest,Water,Non_Wetland,Forest
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
116,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
117,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
120,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
121,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
122,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
