Value,AFRICA_2024_DynamicWorld_2024_35NRE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRE_M_R,AFRICA_2024_GSW_Yearly_2021_35NRE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRE_M_R,AFRICA_2024_WorldCover_2021_35NRE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,NULL
30,NULL,NULL,Wetland,NULL,Wetland,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,Forest
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
37,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
39,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
41,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
42,NULL,NULL,Forest,NULL,Non_Wetland,NULL
43,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
44,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
45,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
46,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
47,NULL,NULL,Forest,NULL,Non_Wetland,Forest
48,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Forest,Water,Non_Wetland,Grassland
52,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
53,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
54,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
55,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
56,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
58,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
59,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
61,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
62,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
63,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
64,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
65,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
73,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
74,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
75,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
76,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
77,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
78,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
80,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
81,NULL,Built-up,Wetland,NULL,Wetland,Forest
82,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
83,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
84,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
85,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
89,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
90,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
91,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
92,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
93,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
94,NULL,Water,NULL,NULL,Non_Wetland,Grassland
95,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Water,Forest,NULL,Non_Wetland,Forest
97,NULL,Forest,NULL,NULL,Non_Wetland,NULL
98,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
99,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
100,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
101,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
102,NULL,Forest,NULL,NULL,Non_Wetland,Forest
103,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
104,NULL,Forest,NULL,Water,Non_Wetland,Grassland
105,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
106,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
107,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
110,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
112,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
113,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
115,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
116,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
118,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
119,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
120,NULL,Forest,Wetland,NULL,Wetland,NULL
