Value,AFRICA_2024_DynamicWorld_2024_37NDG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDG_M_R,AFRICA_2024_GSW_Yearly_2021_37NDG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDG_M_R,AFRICA_2024_WorldCover_2021_37NDG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,Water
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
47,NULL,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,Water
49,NULL,NULL,Wetland,Water,Wetland,Cropland
50,NULL,NULL,Wetland,Water,Wetland,Bareland
51,NULL,NULL,Wetland,Water,Wetland,Water
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
58,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
62,NULL,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
65,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
66,NULL,NULL,Bareland,Water,Non_Wetland,Water
67,NULL,NULL,Bareland,Water,Non_Wetland,Forest
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
74,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
75,NULL,NULL,Water,NULL,Water,Water
76,NULL,NULL,Water,Water,Water,Cropland
77,NULL,NULL,Water,Water,Water,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL
79,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
81,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
82,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
83,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
87,NULL,NULL,Forest,Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Water,Non_Wetland,Cropland
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
90,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
95,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
96,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
105,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
107,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
108,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
109,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
