Value,AFRICA_2024_DynamicWorld_2024_37QHU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,AFRICA_2024_WorldCover_2021_37QHU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Cropland,NULL,Non_Wetland,Water
30,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
41,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,Water,Non_Wetland,Water
43,NULL,NULL,Cropland,Water,Non_Wetland,Forest
44,NULL,NULL,Wetland,NULL,NULL,NULL
45,NULL,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,NULL,Cropland
47,NULL,NULL,Wetland,NULL,NULL,Wetland
48,NULL,NULL,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,NULL,NULL,Water
50,NULL,NULL,Wetland,NULL,NULL,Forest
51,NULL,NULL,Wetland,NULL,Wetland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,NULL,Wetland,NULL,Wetland,Built-up
57,NULL,NULL,Wetland,NULL,Wetland,Water
58,NULL,NULL,Wetland,NULL,Wetland,Forest
59,NULL,NULL,Wetland,Non_Water,NULL,NULL
60,NULL,NULL,Wetland,Non_Water,NULL,Grassland
61,NULL,NULL,Wetland,Non_Water,NULL,Cropland
62,NULL,NULL,Wetland,Non_Water,NULL,Wetland
63,NULL,NULL,Wetland,Non_Water,NULL,Bareland
64,NULL,NULL,Wetland,Non_Water,NULL,Water
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL
66,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
68,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
70,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
71,NULL,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,NULL,Wetland,Water,NULL,NULL
74,NULL,NULL,Wetland,Water,NULL,Grassland
75,NULL,NULL,Wetland,Water,NULL,Cropland
76,NULL,NULL,Wetland,Water,NULL,Wetland
77,NULL,NULL,Wetland,Water,NULL,Bareland
78,NULL,NULL,Wetland,Water,NULL,Built-up
79,NULL,NULL,Wetland,Water,NULL,Water
80,NULL,NULL,Wetland,Water,NULL,Forest
81,NULL,NULL,Wetland,Water,Wetland,NULL
82,NULL,NULL,Wetland,Water,Wetland,Grassland
83,NULL,NULL,Wetland,Water,Wetland,Cropland
84,NULL,NULL,Wetland,Water,Wetland,Wetland
85,NULL,NULL,Wetland,Water,Wetland,Bareland
86,NULL,NULL,Wetland,Water,Wetland,Built-up
87,NULL,NULL,Wetland,Water,Wetland,Water
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
93,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
96,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
98,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
99,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
100,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
101,NULL,NULL,Bareland,NULL,Non_Wetland,Water
102,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
111,NULL,NULL,Bareland,Water,Non_Wetland,NULL
112,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
113,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
114,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
115,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
116,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
117,NULL,NULL,Bareland,Water,Non_Wetland,Water
118,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
119,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
120,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
121,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
122,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
