Value,AFRICA_2024_DynamicWorld_2024_35NPD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,AFRICA_2024_WorldCover_2021_35NPD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
18,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
22,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Wetland,NULL,Wetland,NULL
24,NULL,NULL,Wetland,NULL,Wetland,Grassland
25,NULL,NULL,Wetland,NULL,Wetland,Wetland
26,NULL,NULL,Wetland,NULL,Wetland,Forest
27,NULL,NULL,Wetland,Non_Water,Wetland,NULL
28,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,Forest
30,NULL,NULL,Wetland,Water,Wetland,NULL
31,NULL,NULL,Wetland,Water,Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
33,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
36,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
42,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
43,NULL,NULL,Water,NULL,Water,NULL
44,NULL,NULL,Water,Non_Water,Water,NULL
45,NULL,NULL,Water,Water,Water,NULL
46,NULL,NULL,Water,Water,Water,Grassland
47,NULL,NULL,Water,Water,Water,Wetland
48,NULL,NULL,Water,Water,Water,Water
49,NULL,NULL,Water,Water,Water,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
55,NULL,NULL,Forest,NULL,Non_Wetland,Forest
56,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
59,NULL,NULL,Forest,Water,Non_Wetland,NULL
60,NULL,NULL,Forest,Water,Non_Wetland,Grassland
61,NULL,NULL,Forest,Water,Non_Wetland,Forest
62,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
63,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
64,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
72,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
74,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
75,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
77,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
78,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
79,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
81,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
82,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
83,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
84,NULL,Wetland,NULL,Water,Non_Wetland,NULL
85,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
89,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
90,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
91,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
92,NULL,Wetland,Cropland,Water,Non_Wetland,NULL
93,NULL,Wetland,Wetland,NULL,Wetland,NULL
94,NULL,Wetland,Wetland,NULL,Wetland,Wetland
95,NULL,Wetland,Wetland,NULL,Wetland,Forest
96,NULL,Wetland,Wetland,Water,Wetland,NULL
97,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
98,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
99,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
100,NULL,Wetland,Water,NULL,Water,NULL
101,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
102,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
103,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
104,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
105,NULL,Wetland,Forest,Water,Non_Wetland,NULL
106,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
107,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
109,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
114,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
115,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
116,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
118,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
119,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
120,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
122,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
