Value,AFRICA_2024_DynamicWorld_2024_36PXU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXU_M_R,AFRICA_2024_GSW_Yearly_2021_36PXU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXU_M_R,AFRICA_2024_WorldCover_2021_36PXU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
47,NULL,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,Water
55,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,Water
67,NULL,NULL,Cropland,Water,Non_Wetland,Forest
68,NULL,NULL,Wetland,NULL,Wetland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,Forest
72,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,Forest
75,NULL,NULL,Wetland,Water,Wetland,Grassland
76,NULL,NULL,Wetland,Water,Wetland,Cropland
77,NULL,NULL,Wetland,Water,Wetland,Wetland
78,NULL,NULL,Wetland,Water,Wetland,Water
79,NULL,NULL,Wetland,Water,Wetland,Forest
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
88,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
91,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
92,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
99,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
101,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
102,NULL,NULL,Water,Water,Water,Grassland
103,NULL,NULL,Water,Water,Water,Cropland
104,NULL,NULL,Water,Water,Water,Wetland
105,NULL,NULL,Water,Water,Water,Water
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
109,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
110,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
111,NULL,NULL,Forest,NULL,Non_Wetland,Forest
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
117,NULL,NULL,Forest,Water,Non_Wetland,Grassland
118,NULL,NULL,Forest,Water,Non_Wetland,Cropland
119,NULL,NULL,Forest,Water,Non_Wetland,Wetland
120,NULL,NULL,Forest,Water,Non_Wetland,Water
121,NULL,NULL,Forest,Water,Non_Wetland,Forest
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
