Value,AFRICA_2024_DynamicWorld_2024_37PDP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,AFRICA_2024_WorldCover_2021_37PDP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Water
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Cropland,Water,Non_Wetland,NULL
37,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,Water,Wetland,Water
41,NULL,NULL,Wetland,Water,Wetland,Forest
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Bareland,NULL,Non_Wetland,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
58,NULL,NULL,Bareland,Water,Non_Wetland,NULL
59,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
61,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water
63,NULL,NULL,Bareland,Water,Non_Wetland,Forest
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Water
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
72,NULL,NULL,Water,NULL,Water,NULL
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,NULL,Water,Cropland
75,NULL,NULL,Water,NULL,Water,Water
76,NULL,NULL,Water,NULL,Water,Forest
77,NULL,NULL,Water,Water,Water,Grassland
78,NULL,NULL,Water,Water,Water,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
82,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
83,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
84,NULL,NULL,Forest,NULL,Non_Wetland,Water
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
87,NULL,NULL,Forest,Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Water,Non_Wetland,Forest
90,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
91,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
96,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
110,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
117,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
120,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
