Value,AFRICA_2024_DynamicWorld_2024_37PCN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCN_M_R,AFRICA_2024_GSW_Yearly_2021_37PCN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCN_M_R,AFRICA_2024_WorldCover_2021_37PCN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,NULL
42,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
44,NULL,NULL,Wetland,NULL,Wetland,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Cropland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Wetland,Water,Wetland,NULL
50,NULL,NULL,Wetland,Water,Wetland,Cropland
51,NULL,NULL,Wetland,Water,Wetland,Forest
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
63,NULL,NULL,Bareland,NULL,Non_Wetland,Water
64,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL
70,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
72,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
73,NULL,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Water
80,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,NULL,Built-up,Water,Non_Wetland,NULL
82,NULL,NULL,Built-up,Water,Non_Wetland,Forest
83,NULL,NULL,Water,NULL,Water,NULL
84,NULL,NULL,Water,NULL,Water,Grassland
85,NULL,NULL,Water,NULL,Water,Forest
86,NULL,NULL,Water,Non_Water,Water,Cropland
87,NULL,NULL,Water,Water,Water,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
91,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
92,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
93,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
94,NULL,NULL,Forest,NULL,Non_Wetland,Water
95,NULL,NULL,Forest,NULL,Non_Wetland,Forest
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
97,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
98,NULL,NULL,Forest,Water,Non_Wetland,NULL
99,NULL,NULL,Forest,Water,Non_Wetland,Grassland
100,NULL,NULL,Forest,Water,Non_Wetland,Cropland
101,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
102,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
103,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
104,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
105,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
106,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
107,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
108,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
109,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
118,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
119,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
120,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
