Value,AFRICA_2024_DynamicWorld_2024_35PNS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNS_M_R,AFRICA_2024_GSW_Yearly_2021_35PNS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNS_M_R,AFRICA_2024_WorldCover_2021_35PNS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
5,NULL,NULL,NULL,Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,Water,Non_Wetland,Forest
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
23,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
24,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
27,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
28,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
29,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
30,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
31,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL
33,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
34,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
35,NULL,NULL,Forest,NULL,Non_Wetland,Forest
36,NULL,NULL,Forest,Water,Non_Wetland,Grassland
37,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
38,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
39,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
40,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
41,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
42,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
43,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
44,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
45,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
46,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
48,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
49,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
50,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
51,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
52,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
53,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
54,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
55,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
56,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
57,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
58,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
59,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
60,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
61,NULL,Forest,NULL,NULL,Non_Wetland,NULL
62,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
63,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
64,NULL,Forest,NULL,NULL,Non_Wetland,Forest
65,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
66,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
67,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
68,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
69,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
70,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
71,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
72,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
73,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
74,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
75,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
76,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
77,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
78,NULL,Forest,Forest,NULL,Non_Wetland,NULL
79,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
80,NULL,Forest,Forest,NULL,Non_Wetland,Forest
81,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
82,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
83,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
84,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
85,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
86,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
87,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
88,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
89,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
90,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
91,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
92,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
93,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
94,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
95,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
96,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
97,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
98,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
99,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
100,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
101,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
102,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
103,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
104,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
105,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
106,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
107,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
108,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
109,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
110,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
111,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
112,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
113,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
114,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
115,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
116,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
117,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
118,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
