Value,AFRICA_2024_DynamicWorld_2024_37PBR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBR_M_R,AFRICA_2024_GSW_Yearly_2021_37PBR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBR_M_R,AFRICA_2024_WorldCover_2021_37PBR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Cropland,NULL,Non_Wetland,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,Water
60,NULL,NULL,Cropland,Water,Non_Wetland,Forest
61,NULL,NULL,Wetland,NULL,Wetland,NULL
62,NULL,NULL,Wetland,NULL,Wetland,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
66,NULL,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,Forest
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Cropland
70,NULL,NULL,Wetland,Water,Wetland,Bareland
71,NULL,NULL,Wetland,Water,Wetland,Water
72,NULL,NULL,Wetland,Water,Wetland,Forest
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
89,NULL,NULL,Bareland,Water,Non_Wetland,NULL
90,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
91,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
92,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
102,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
103,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
104,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
105,NULL,NULL,Built-up,Water,Non_Wetland,Forest
106,NULL,NULL,Water,NULL,Water,Grassland
107,NULL,NULL,Water,NULL,Water,Forest
108,NULL,NULL,Water,Non_Water,Water,Forest
109,NULL,NULL,Water,Water,Water,Grassland
110,NULL,NULL,Water,Water,Water,Cropland
111,NULL,NULL,Water,Water,Water,Bareland
112,NULL,NULL,Water,Water,Water,Water
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
116,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
117,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
118,NULL,NULL,Forest,NULL,Non_Wetland,Water
119,NULL,NULL,Forest,NULL,Non_Wetland,Forest
120,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
