Value,AFRICA_2024_DynamicWorld_2024_36QVD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36QVD_M_R,AFRICA_2024_GLC_FCS30D_2022_36QVD_M_R,AFRICA_2024_GSW_Yearly_2021_36QVD_M_R,AFRICA_2024_GWL_FCS30D_2022_36QVD_M_R,AFRICA_2024_WorldCover_2021_36QVD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Water
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Water
31,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
35,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,Water,Non_Wetland,Water
37,NULL,NULL,Cropland,Water,Non_Wetland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,Forest
39,NULL,NULL,Wetland,Non_Water,Wetland,Forest
40,NULL,NULL,Wetland,Water,Wetland,Cropland
41,NULL,NULL,Wetland,Water,Wetland,Forest
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
54,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
55,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
56,NULL,NULL,Bareland,Water,Non_Wetland,Water
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
64,NULL,NULL,Water,Water,Water,Cropland
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
67,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
68,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
69,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
73,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
74,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
79,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
80,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
81,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
87,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
88,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
89,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
91,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
99,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
100,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
101,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
102,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
104,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
105,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
106,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
107,NULL,Cropland,Cropland,Water,Non_Wetland,Water
108,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
109,NULL,Cropland,Wetland,NULL,Wetland,Cropland
110,NULL,Cropland,Wetland,NULL,Wetland,Water
111,NULL,Cropland,Wetland,NULL,Wetland,Forest
112,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
113,NULL,Cropland,Wetland,Non_Water,Wetland,Water
114,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
115,NULL,Cropland,Wetland,Water,Wetland,Cropland
116,NULL,Cropland,Wetland,Water,Wetland,Water
117,NULL,Cropland,Wetland,Water,Wetland,Forest
118,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
119,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
