Value,AFRICA_2024_DynamicWorld_2024_37PCP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCP_M_R,AFRICA_2024_GSW_Yearly_2021_37PCP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCP_M_R,AFRICA_2024_WorldCover_2021_37PCP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL
51,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
53,NULL,NULL,Wetland,NULL,Wetland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Cropland
56,NULL,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,NULL,Wetland,NULL,Wetland,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL
59,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
60,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,NULL,Wetland,Water,Wetland,NULL
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Cropland
64,NULL,NULL,Wetland,Water,Wetland,Wetland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
70,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
74,NULL,NULL,Bareland,NULL,Non_Wetland,Water
75,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL
81,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Water,NULL,Water,NULL
92,NULL,NULL,Water,NULL,Water,Grassland
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
95,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
96,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
97,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
98,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest
100,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
103,NULL,NULL,Forest,Water,Non_Wetland,NULL
104,NULL,NULL,Forest,Water,Non_Wetland,Grassland
105,NULL,NULL,Forest,Water,Non_Wetland,Cropland
106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
107,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
108,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
109,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
111,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
112,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
113,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
114,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
116,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
117,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
