Value,AFRICA_2024_DynamicWorld_2024_35PPL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPL_M_R,AFRICA_2024_GSW_Yearly_2021_35PPL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPL_M_R,AFRICA_2024_WorldCover_2021_35PPL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
48,NULL,NULL,Grassland,Water,Non_Wetland,Water
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
50,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
55,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL
60,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
61,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
62,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
63,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
64,NULL,NULL,Cropland,Water,Non_Wetland,Water
65,NULL,NULL,Wetland,NULL,Wetland,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Cropland
68,NULL,NULL,Wetland,NULL,Wetland,Wetland
69,NULL,NULL,Wetland,NULL,Wetland,Built-up
70,NULL,NULL,Wetland,NULL,Wetland,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL
72,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,Forest
75,NULL,NULL,Wetland,Water,Wetland,NULL
76,NULL,NULL,Wetland,Water,Wetland,Grassland
77,NULL,NULL,Wetland,Water,Wetland,Wetland
78,NULL,NULL,Wetland,Water,Wetland,Forest
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
92,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
93,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
94,NULL,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
101,NULL,NULL,Built-up,NULL,Non_Wetland,Water
102,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
105,NULL,NULL,Built-up,Water,Non_Wetland,NULL
106,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
107,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
108,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
109,NULL,NULL,Water,NULL,Water,Grassland
110,NULL,NULL,Water,NULL,Water,Wetland
111,NULL,NULL,Water,NULL,Water,Water
112,NULL,NULL,Water,Water,Water,Grassland
113,NULL,NULL,Water,Water,Water,Wetland
114,NULL,NULL,Water,Water,Water,Water
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL
116,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
118,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
119,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
120,NULL,NULL,Forest,NULL,Non_Wetland,Forest
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
