Value,AFRICA_2024_DynamicWorld_2024_37PHK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHK_M_R,AFRICA_2024_GSW_Yearly_2021_37PHK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHK_M_R,AFRICA_2024_WorldCover_2021_37PHK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Water
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Water
46,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
49,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
51,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
55,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
56,NULL,NULL,Water,NULL,Water,Grassland
57,NULL,NULL,Water,NULL,Water,Cropland
58,NULL,NULL,Water,Non_Water,Water,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
62,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
63,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
64,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
65,NULL,NULL,Forest,NULL,Non_Wetland,Forest
66,NULL,NULL,Forest,Water,Non_Wetland,NULL
67,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
68,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
69,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
77,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
78,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
79,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
84,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
98,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
101,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
102,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
103,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
104,NULL,Wetland,NULL,Water,Non_Wetland,Cropland
105,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
106,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
108,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
109,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
110,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
111,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
112,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
113,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
114,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
115,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
116,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
117,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
118,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
