Value,AFRICA_2024_DynamicWorld_2024_38PKC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,AFRICA_2024_WorldCover_2021_38PKC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
14,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
19,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Wetland,NULL,Wetland,Bareland
23,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
24,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
25,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
26,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
31,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
33,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
34,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
36,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
37,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL
39,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
40,NULL,NULL,Forest,NULL,Non_Wetland,Forest
41,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
42,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
43,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
44,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
45,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
46,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
47,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
48,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
49,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
50,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
51,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
52,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
53,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
55,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
56,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
57,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
58,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
59,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
60,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
61,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
62,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
63,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
64,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
65,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
66,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
67,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
68,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
69,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
70,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
71,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
72,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
73,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
74,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
75,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
76,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
77,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
78,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
82,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
85,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
86,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
87,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
88,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
89,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
90,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
91,NULL,Built-up,Wetland,NULL,Wetland,Bareland
92,NULL,Built-up,Wetland,Water,Wetland,NULL
93,NULL,Built-up,Wetland,Water,Wetland,Bareland
94,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
95,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
96,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
97,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
98,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
99,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
100,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
101,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
102,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
103,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
104,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
106,NULL,Water,Cropland,NULL,Non_Wetland,NULL
107,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
108,NULL,Water,Wetland,NULL,Wetland,NULL
109,NULL,Water,Wetland,NULL,Wetland,Wetland
110,NULL,Water,Wetland,NULL,Wetland,Bareland
111,NULL,Water,Wetland,Non_Water,Wetland,NULL
112,NULL,Water,Wetland,Water,Wetland,NULL
113,NULL,Water,Wetland,Water,Wetland,Water
114,NULL,Water,Bareland,NULL,Non_Wetland,NULL
115,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
116,NULL,Water,Bareland,Water,Non_Wetland,Grassland
117,NULL,Water,Bareland,Water,Non_Wetland,Bareland
118,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
