Value,AFRICA_2024_DynamicWorld_2024_36NYP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,AFRICA_2024_WorldCover_2021_36NYP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
16,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
20,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
25,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
27,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
28,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
29,NULL,NULL,Water,NULL,Water,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL
31,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
32,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
33,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
34,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
35,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
36,NULL,NULL,Forest,NULL,Non_Wetland,Forest
37,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
38,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
39,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
40,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
41,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
42,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
43,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
44,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
45,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
46,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
47,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
49,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
50,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
51,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
52,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
53,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
54,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
55,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
56,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
57,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
58,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
59,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
60,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
63,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
64,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
65,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
66,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
67,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
68,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
69,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
70,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
71,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
72,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
73,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
74,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
75,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
76,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
77,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
79,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
87,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
88,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
89,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
90,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
91,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
92,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
93,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
94,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
96,NULL,Built-up,Wetland,NULL,Wetland,Forest
97,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
98,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
99,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
100,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
101,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
102,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
103,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
104,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
105,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
106,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
107,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
108,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
109,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
110,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
111,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
112,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
113,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
115,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
116,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
117,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
