Value,AFRICA_2024_DynamicWorld_2024_35PNL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNL_M_R,AFRICA_2024_GSW_Yearly_2021_35PNL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNL_M_R,AFRICA_2024_WorldCover_2021_35PNL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,NULL
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Cropland
16,NULL,NULL,NULL,Water,Non_Wetland,Wetland
17,NULL,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
34,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL
54,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
55,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
56,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
57,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
58,NULL,NULL,Grassland,Water,Non_Wetland,Water
59,NULL,NULL,Grassland,Water,Non_Wetland,Forest
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
61,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
65,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
66,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL
69,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
70,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
71,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
72,NULL,NULL,Cropland,Water,Non_Wetland,Forest
73,NULL,NULL,Wetland,NULL,Wetland,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,Cropland
76,NULL,NULL,Wetland,NULL,Wetland,Wetland
77,NULL,NULL,Wetland,NULL,Wetland,Forest
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL
79,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
80,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
81,NULL,NULL,Wetland,Non_Water,Wetland,Forest
82,NULL,NULL,Wetland,Water,Wetland,Grassland
83,NULL,NULL,Wetland,Water,Wetland,Wetland
84,NULL,NULL,Wetland,Water,Wetland,Forest
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL
98,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,Forest
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
103,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL
112,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
113,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
114,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
115,NULL,NULL,Built-up,Water,Non_Wetland,Forest
116,NULL,NULL,Water,Water,Water,Grassland
117,NULL,NULL,Water,Water,Water,Forest
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL
119,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
120,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
