Value,AFRICA_2024_DynamicWorld_2024_35PRL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRL_M_R,AFRICA_2024_GSW_Yearly_2021_35PRL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRL_M_R,AFRICA_2024_WorldCover_2021_35PRL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,NULL
56,NULL,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Built-up
59,NULL,NULL,Wetland,NULL,Wetland,Water
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
64,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
65,NULL,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,NULL,Wetland,Water,Wetland,Grassland
68,NULL,NULL,Wetland,Water,Wetland,Wetland
69,NULL,NULL,Wetland,Water,Wetland,Water
70,NULL,NULL,Wetland,Water,Wetland,Forest
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Water
79,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
84,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,Water
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
95,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
96,NULL,NULL,Water,NULL,Water,Grassland
97,NULL,NULL,Water,NULL,Water,Wetland
98,NULL,NULL,Water,NULL,Water,Water
99,NULL,NULL,Water,NULL,Water,Forest
100,NULL,NULL,Water,Non_Water,Water,Wetland
101,NULL,NULL,Water,Water,Water,NULL
102,NULL,NULL,Water,Water,Water,Grassland
103,NULL,NULL,Water,Water,Water,Wetland
104,NULL,NULL,Water,Water,Water,Water
105,NULL,NULL,Water,Water,Water,Forest
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
109,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
110,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
111,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
112,NULL,NULL,Forest,NULL,Non_Wetland,Water
113,NULL,NULL,Forest,NULL,Non_Wetland,Forest
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
118,NULL,NULL,Forest,Water,Non_Wetland,Grassland
119,NULL,NULL,Forest,Water,Non_Wetland,Bareland
120,NULL,NULL,Forest,Water,Non_Wetland,Water
121,NULL,NULL,Forest,Water,Non_Wetland,Forest
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
123,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
