Value,AFRICA_2024_DynamicWorld_2024_37PES_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PES_M_R,AFRICA_2024_GLC_FCS30D_2022_37PES_M_R,AFRICA_2024_GSW_Yearly_2021_37PES_M_R,AFRICA_2024_GWL_FCS30D_2022_37PES_M_R,AFRICA_2024_WorldCover_2021_37PES_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,Water
60,NULL,NULL,Wetland,NULL,Wetland,NULL
61,NULL,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
63,NULL,NULL,Wetland,Water,Wetland,Grassland
64,NULL,NULL,Wetland,Water,Wetland,Cropland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL
82,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
84,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Water,Non_Wetland,Water
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Built-up,Water,Non_Wetland,NULL
95,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
96,NULL,NULL,Water,NULL,Water,NULL
97,NULL,NULL,Water,NULL,Water,Grassland
98,NULL,NULL,Water,NULL,Water,Bareland
99,NULL,NULL,Water,NULL,Water,Forest
100,NULL,NULL,Water,Water,Water,NULL
101,NULL,NULL,Water,Water,Water,Grassland
102,NULL,NULL,Water,Water,Water,Water
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
107,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
108,NULL,NULL,Forest,NULL,Non_Wetland,Water
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
114,NULL,NULL,Forest,Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Water,Non_Wetland,Cropland
117,NULL,NULL,Forest,Water,Non_Wetland,Wetland
118,NULL,NULL,Forest,Water,Non_Wetland,Water
119,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
120,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
121,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
