Value,AFRICA_2024_DynamicWorld_2024_35NPE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,AFRICA_2024_WorldCover_2021_35NPE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
18,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
22,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Wetland,NULL,Wetland,NULL
26,NULL,NULL,Wetland,NULL,Wetland,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,Forest
29,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
30,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
31,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
33,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
35,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
36,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
37,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL
39,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
40,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
41,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
42,NULL,NULL,Forest,NULL,Non_Wetland,Forest
43,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Forest,Water,Non_Wetland,Grassland
47,NULL,NULL,Forest,Water,Non_Wetland,Forest
48,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
49,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
50,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
51,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
53,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
54,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
55,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
56,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
57,NULL,Wetland,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
59,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
60,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
61,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
62,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
63,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
64,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
65,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
71,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
72,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
73,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
74,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
75,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
76,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
77,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
78,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
79,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
80,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
81,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
84,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
85,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
86,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
87,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
88,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
89,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
90,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
91,NULL,Water,Wetland,NULL,Wetland,Forest
92,NULL,Water,Wetland,Non_Water,Wetland,Grassland
93,NULL,Water,Wetland,Water,Wetland,Forest
94,NULL,Water,Forest,NULL,Non_Wetland,NULL
95,NULL,Water,Forest,NULL,Non_Wetland,Grassland
96,NULL,Water,Forest,NULL,Non_Wetland,Forest
97,NULL,Water,Forest,Water,Non_Wetland,Grassland
98,NULL,Forest,NULL,NULL,Non_Wetland,NULL
99,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
100,NULL,Forest,NULL,NULL,Non_Wetland,Forest
101,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
104,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
105,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
107,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
108,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
109,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
110,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
111,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
112,NULL,Forest,Wetland,NULL,Wetland,Grassland
113,NULL,Forest,Wetland,NULL,Wetland,Forest
114,NULL,Forest,Wetland,Non_Water,Wetland,NULL
115,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
116,NULL,Forest,Wetland,Water,Wetland,Grassland
117,NULL,Forest,Wetland,Water,Wetland,Forest
118,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
119,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
120,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
