Value,AFRICA_2024_DynamicWorld_2024_37PDQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PDQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDQ_M_R,AFRICA_2024_WorldCover_2021_37PDQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL
41,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
43,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL
60,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
61,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
62,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
63,NULL,NULL,Cropland,Water,Non_Wetland,Water
64,NULL,NULL,Cropland,Water,Non_Wetland,Forest
65,NULL,NULL,Wetland,NULL,Wetland,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Cropland
68,NULL,NULL,Wetland,NULL,Wetland,Water
69,NULL,NULL,Wetland,NULL,Wetland,Forest
70,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,NULL,Wetland,Water,Wetland,Grassland
72,NULL,NULL,Wetland,Water,Wetland,Cropland
73,NULL,NULL,Wetland,Water,Wetland,Bareland
74,NULL,NULL,Wetland,Water,Wetland,Water
75,NULL,NULL,Wetland,Water,Wetland,Forest
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
88,NULL,NULL,Bareland,NULL,Non_Wetland,Water
89,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
94,NULL,NULL,Bareland,Water,Non_Wetland,NULL
95,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
97,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
101,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
105,NULL,NULL,Built-up,NULL,Non_Wetland,Water
106,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
108,NULL,NULL,Built-up,Water,Non_Wetland,NULL
109,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
111,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
112,NULL,NULL,Built-up,Water,Non_Wetland,Water
113,NULL,NULL,Water,NULL,Water,NULL
114,NULL,NULL,Water,NULL,Water,Grassland
115,NULL,NULL,Water,NULL,Water,Cropland
116,NULL,NULL,Water,NULL,Water,Bareland
117,NULL,NULL,Water,NULL,Water,Water
118,NULL,NULL,Water,NULL,Water,Forest
119,NULL,NULL,Water,Water,Water,NULL
120,NULL,NULL,Water,Water,Water,Grassland
121,NULL,NULL,Water,Water,Water,Cropland
122,NULL,NULL,Water,Water,Water,Bareland
123,NULL,NULL,Water,Water,Water,Water
