Value,AFRICA_2024_DynamicWorld_2024_36NVL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,AFRICA_2024_GSW_Yearly_2021_36NVL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,AFRICA_2024_WorldCover_2021_36NVL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Wetland,NULL,Wetland,NULL
31,NULL,NULL,Wetland,NULL,Wetland,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,Forest
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
35,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
42,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
43,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL
45,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
47,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
48,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
49,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
50,NULL,NULL,Forest,NULL,Non_Wetland,Forest
51,NULL,NULL,Forest,Water,Non_Wetland,Grassland
52,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
55,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
58,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
59,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
61,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
62,NULL,Wetland,Wetland,NULL,Wetland,Wetland
63,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
64,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
65,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
66,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
67,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
68,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
69,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
77,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
78,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
79,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
80,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
81,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
82,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
84,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
85,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
89,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
90,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
91,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
92,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
93,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
94,NULL,Forest,NULL,NULL,Non_Wetland,NULL
95,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
96,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
97,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
98,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
99,NULL,Forest,NULL,NULL,Non_Wetland,Forest
100,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
101,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
105,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
107,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
108,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
109,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
110,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
112,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
113,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
114,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
115,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
116,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
117,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
118,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
119,NULL,Forest,Wetland,NULL,Wetland,Grassland
