Value,AFRICA_2024_DynamicWorld_2024_37PDS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDS_M_R,AFRICA_2024_GSW_Yearly_2021_37PDS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDS_M_R,AFRICA_2024_WorldCover_2021_37PDS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,NULL,Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
61,NULL,NULL,Cropland,Water,Non_Wetland,Water
62,NULL,NULL,Wetland,NULL,Wetland,NULL
63,NULL,NULL,Wetland,NULL,Wetland,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Cropland
65,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
66,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
67,NULL,NULL,Wetland,Water,Wetland,NULL
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Cropland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
81,NULL,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Water,Non_Wetland,NULL
87,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
89,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
90,NULL,NULL,Bareland,Water,Non_Wetland,Water
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
96,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
99,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
100,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
101,NULL,NULL,Built-up,Water,Non_Wetland,Water
102,NULL,NULL,Water,NULL,Water,NULL
103,NULL,NULL,Water,NULL,Water,Grassland
104,NULL,NULL,Water,Non_Water,Water,Cropland
105,NULL,NULL,Water,Water,Water,Cropland
106,NULL,NULL,Water,Water,Water,Water
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
110,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
111,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
112,NULL,NULL,Forest,NULL,Non_Wetland,Forest
113,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
119,NULL,NULL,Forest,Water,Non_Wetland,NULL
120,NULL,NULL,Forest,Water,Non_Wetland,Grassland
121,NULL,NULL,Forest,Water,Non_Wetland,Cropland
