Value,AFRICA_2024_DynamicWorld_2024_35NQG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,AFRICA_2024_WorldCover_2021_35NQG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
26,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,Forest
31,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
32,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
33,NULL,NULL,Wetland,Water,Wetland,Grassland
34,NULL,NULL,Wetland,Water,Wetland,Wetland
35,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
36,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
38,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
39,NULL,NULL,Forest,NULL,Non_Wetland,NULL
40,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
41,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
42,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
43,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
44,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
45,NULL,NULL,Forest,NULL,Non_Wetland,Forest
46,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
49,NULL,NULL,Forest,Water,Non_Wetland,NULL
50,NULL,NULL,Forest,Water,Non_Wetland,Grassland
51,NULL,NULL,Forest,Water,Non_Wetland,Wetland
52,NULL,NULL,Forest,Water,Non_Wetland,Forest
53,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
54,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
55,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
56,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
57,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
59,NULL,Wetland,Wetland,NULL,Wetland,NULL
60,NULL,Wetland,Wetland,NULL,Wetland,Grassland
61,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
62,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
63,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
64,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
65,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
66,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
72,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
73,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
74,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
75,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
76,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
77,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
78,NULL,Forest,NULL,NULL,Non_Wetland,NULL
79,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
80,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
81,NULL,Forest,NULL,NULL,Non_Wetland,Forest
82,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
83,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
84,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
85,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
86,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
87,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
89,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
90,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
91,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
92,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
93,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
94,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
95,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Forest,Wetland,NULL,Wetland,NULL
97,NULL,Forest,Wetland,NULL,Wetland,Grassland
98,NULL,Forest,Wetland,NULL,Wetland,Wetland
99,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
100,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
101,NULL,Forest,Forest,NULL,Non_Wetland,NULL
102,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
103,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
104,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
105,NULL,Forest,Forest,NULL,Non_Wetland,Forest
106,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
107,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
108,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
109,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
110,NULL,Forest,Forest,Water,Non_Wetland,Grassland
111,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
112,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
113,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
114,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
115,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
118,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
119,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
120,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
