Value,AFRICA_2024_DynamicWorld_2024_38NLK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLK_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLK_M_R,AFRICA_2024_GSW_Yearly_2021_38NLK_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLK_M_R,AFRICA_2024_WorldCover_2021_38NLK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Grassland,Water,Non_Wetland,NULL
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
30,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
31,NULL,NULL,Grassland,Water,Non_Wetland,Water
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Cropland,NULL,Non_Wetland,Water
38,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,NULL,Wetland,Water,Wetland,NULL
45,NULL,NULL,Wetland,Water,Wetland,Grassland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Water
53,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Water,Non_Wetland,NULL
57,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
59,NULL,NULL,Bareland,Water,Non_Wetland,Forest
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
61,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Built-up,Water,Non_Wetland,Water
66,NULL,NULL,Water,NULL,Water,NULL
67,NULL,NULL,Water,NULL,Water,Grassland
68,NULL,NULL,Water,NULL,Water,Cropland
69,NULL,NULL,Water,NULL,Water,Water
70,NULL,NULL,Water,Non_Water,Water,NULL
71,NULL,NULL,Water,Non_Water,Water,Grassland
72,NULL,NULL,Water,Water,Water,NULL
73,NULL,NULL,Water,Water,Water,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,Forest
80,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
81,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
84,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
90,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
91,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
92,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
98,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
99,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
106,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
107,NULL,Cropland,Wetland,NULL,Wetland,NULL
108,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
117,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
119,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
120,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
