Value,AFRICA_2024_DynamicWorld_2024_36PWR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWR_M_R,AFRICA_2024_GSW_Yearly_2021_36PWR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWR_M_R,AFRICA_2024_WorldCover_2021_36PWR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,NULL
42,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
43,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
44,NULL,NULL,Wetland,Water,Wetland,Forest
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Water
49,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
55,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
65,NULL,NULL,Forest,Water,Non_Wetland,Wetland
66,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
68,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
76,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
77,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
78,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
85,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
86,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Water,Water,Water,Water
88,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
89,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
91,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
92,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
93,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
95,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
96,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
97,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
98,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
99,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
100,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
101,NULL,Wetland,Wetland,NULL,Wetland,Grassland
102,NULL,Wetland,Wetland,NULL,Wetland,Wetland
103,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
104,NULL,Wetland,Wetland,Water,Wetland,Water
105,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
106,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
107,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
108,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
109,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
110,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
