Value,AFRICA_2024_DynamicWorld_2024_35NME_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,AFRICA_2024_GSW_Yearly_2021_35NME_M_R,AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,AFRICA_2024_WorldCover_2021_35NME_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,NULL
29,NULL,NULL,Wetland,NULL,Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,Bareland
32,NULL,NULL,Wetland,NULL,Wetland,Built-up
33,NULL,NULL,Wetland,NULL,Wetland,Forest
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL
35,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
37,NULL,NULL,Wetland,Non_Water,Wetland,Forest
38,NULL,NULL,Wetland,Water,Wetland,NULL
39,NULL,NULL,Wetland,Water,Wetland,Grassland
40,NULL,NULL,Wetland,Water,Wetland,Wetland
41,NULL,NULL,Wetland,Water,Wetland,Forest
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
50,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
51,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
52,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Built-up,Water,Non_Wetland,Water
54,NULL,NULL,Water,NULL,Water,NULL
55,NULL,NULL,Water,NULL,Water,Grassland
56,NULL,NULL,Water,NULL,Water,Water
57,NULL,NULL,Water,NULL,Water,Forest
58,NULL,NULL,Water,Non_Water,Water,Grassland
59,NULL,NULL,Water,Non_Water,Water,Forest
60,NULL,NULL,Water,Water,Water,NULL
61,NULL,NULL,Water,Water,Water,Grassland
62,NULL,NULL,Water,Water,Water,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
66,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
67,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
68,NULL,NULL,Forest,NULL,Non_Wetland,Forest
69,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
70,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
73,NULL,NULL,Forest,Water,Non_Wetland,NULL
74,NULL,NULL,Forest,Water,Non_Wetland,Grassland
75,NULL,NULL,Forest,Water,Non_Wetland,Forest
76,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Wetland,NULL,Wetland,Grassland
83,NULL,Cropland,Wetland,NULL,Wetland,Forest
84,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
86,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
88,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
89,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
90,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
91,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
92,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
93,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
95,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
96,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
97,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
98,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
100,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
101,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
102,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
103,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
104,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
105,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
106,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
107,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
108,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
109,NULL,Wetland,Cropland,Water,Non_Wetland,Forest
110,NULL,Wetland,Wetland,NULL,Wetland,NULL
111,NULL,Wetland,Wetland,NULL,Wetland,Grassland
112,NULL,Wetland,Wetland,NULL,Wetland,Wetland
113,NULL,Wetland,Wetland,NULL,Wetland,Water
114,NULL,Wetland,Wetland,NULL,Wetland,Forest
115,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
116,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
117,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
118,NULL,Wetland,Wetland,Water,Wetland,Grassland
119,NULL,Wetland,Wetland,Water,Wetland,Wetland
120,NULL,Wetland,Wetland,Water,Wetland,Water
121,NULL,Wetland,Wetland,Water,Wetland,Forest
122,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
123,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
