Value,AFRICA_2024_DynamicWorld_2024_37PCR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,AFRICA_2024_WorldCover_2021_37PCR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
55,NULL,NULL,Cropland,Water,Non_Wetland,Water
56,NULL,NULL,Cropland,Water,Non_Wetland,Forest
57,NULL,NULL,Wetland,NULL,Wetland,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Cropland
61,NULL,NULL,Wetland,Water,Wetland,Bareland
62,NULL,NULL,Wetland,Water,Wetland,Water
63,NULL,NULL,Wetland,Water,Wetland,Forest
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL
84,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
85,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
86,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
90,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
94,NULL,NULL,Built-up,NULL,Non_Wetland,Water
95,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
99,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
100,NULL,NULL,Built-up,Water,Non_Wetland,Water
101,NULL,NULL,Water,NULL,Water,Grassland
102,NULL,NULL,Water,NULL,Water,Forest
103,NULL,NULL,Water,Water,Water,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
106,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,Water
110,NULL,NULL,Forest,NULL,Non_Wetland,Forest
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
114,NULL,NULL,Forest,Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Water,Non_Wetland,Cropland
117,NULL,NULL,Forest,Water,Non_Wetland,Bareland
118,NULL,NULL,Forest,Water,Non_Wetland,Water
119,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
120,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
121,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
