Value,AFRICA_2024_DynamicWorld_2024_38PLS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLS_M_R,AFRICA_2024_GSW_Yearly_2021_38PLS_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLS_M_R,AFRICA_2024_WorldCover_2021_38PLS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Water,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,NULL,Wetland,NULL,Wetland,Forest
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,NULL,Wetland,Water,NULL,Wetland
55,NULL,NULL,Wetland,Water,NULL,Bareland
56,NULL,NULL,Wetland,Water,Wetland,NULL
57,NULL,NULL,Wetland,Water,Wetland,Wetland
58,NULL,NULL,Wetland,Water,Wetland,Bareland
59,NULL,NULL,Wetland,Water,Wetland,Water
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
65,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
73,NULL,NULL,Bareland,NULL,Non_Wetland,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL
80,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
82,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,Water
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
90,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
91,NULL,NULL,Built-up,Water,Non_Wetland,NULL
92,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
94,NULL,NULL,Water,NULL,NULL,Water
95,NULL,NULL,Water,NULL,Water,Bareland
96,NULL,NULL,Water,Non_Water,NULL,NULL
97,NULL,NULL,Water,Non_Water,NULL,Cropland
98,NULL,NULL,Water,Non_Water,NULL,Bareland
99,NULL,NULL,Water,Non_Water,Water,NULL
100,NULL,NULL,Water,Non_Water,Water,Bareland
101,NULL,NULL,Water,Water,NULL,Wetland
102,NULL,NULL,Water,Water,NULL,Bareland
103,NULL,NULL,Water,Water,NULL,Water
104,NULL,NULL,Water,Water,Water,Wetland
105,NULL,NULL,Water,Water,Water,Bareland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Forest
109,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
110,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
111,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
112,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
113,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
