Value,AFRICA_2024_DynamicWorld_2024_36PZS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,AFRICA_2024_WorldCover_2021_36PZS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Water,Non_Wetland,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Cropland
47,NULL,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
49,NULL,NULL,Wetland,Non_Water,Wetland,Forest
50,NULL,NULL,Wetland,Water,Wetland,Forest
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
61,NULL,NULL,Bareland,Water,Non_Wetland,NULL
62,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
64,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,Forest
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
77,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
79,NULL,NULL,Forest,NULL,Non_Wetland,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Forest,Water,Non_Wetland,NULL
85,NULL,NULL,Forest,Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,Cropland
87,NULL,NULL,Forest,Water,Non_Wetland,Forest
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
89,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
94,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
