Value,AFRICA_2024_DynamicWorld_2024_37PFK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFK_M_R,AFRICA_2024_GSW_Yearly_2021_37PFK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFK_M_R,AFRICA_2024_WorldCover_2021_37PFK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Water,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL
39,NULL,NULL,Wetland,NULL,Wetland,NULL
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Bareland,Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
58,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Water,NULL,Water,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
63,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
64,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
65,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
66,NULL,NULL,Forest,NULL,Non_Wetland,Forest
67,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
68,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
69,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
70,NULL,NULL,Forest,Water,Non_Wetland,NULL
71,NULL,NULL,Forest,Water,Non_Wetland,Cropland
72,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
73,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
78,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
87,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
97,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
106,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
107,NULL,Cropland,Wetland,NULL,Wetland,NULL
108,NULL,Cropland,Wetland,NULL,Wetland,Forest
109,NULL,Cropland,Wetland,Water,Wetland,Forest
110,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
111,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
114,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
