Value,AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,AFRICA_2024_WorldCover_2021_37PCQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,Forest
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Bareland,NULL,Non_Wetland,Water
49,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
52,NULL,NULL,Bareland,Water,Non_Wetland,Forest
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
54,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
58,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
59,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
60,NULL,NULL,Water,NULL,Water,NULL
61,NULL,NULL,Water,NULL,Water,Grassland
62,NULL,NULL,Water,NULL,Water,Cropland
63,NULL,NULL,Water,NULL,Water,Forest
64,NULL,NULL,Water,Water,Water,Grassland
65,NULL,NULL,Water,Water,Water,Cropland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
69,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
70,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
71,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
72,NULL,NULL,Forest,NULL,Non_Wetland,Forest
73,NULL,NULL,Forest,Water,Non_Wetland,NULL
74,NULL,NULL,Forest,Water,Non_Wetland,Grassland
75,NULL,NULL,Forest,Water,Non_Wetland,Cropland
76,NULL,NULL,Forest,Water,Non_Wetland,Forest
77,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
78,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
79,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
80,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
81,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
82,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
102,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
106,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
119,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
