Value,AFRICA_2024_DynamicWorld_2024_37PDM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDM_M_R,AFRICA_2024_GSW_Yearly_2021_37PDM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDM_M_R,AFRICA_2024_WorldCover_2021_37PDM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
58,NULL,NULL,Cropland,Water,Non_Wetland,Water
59,NULL,NULL,Cropland,Water,Non_Wetland,Forest
60,NULL,NULL,Wetland,NULL,Wetland,NULL
61,NULL,NULL,Wetland,NULL,Wetland,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,Cropland
63,NULL,NULL,Wetland,NULL,Wetland,Water
64,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
65,NULL,NULL,Wetland,Water,Wetland,NULL
66,NULL,NULL,Wetland,Water,Wetland,Cropland
67,NULL,NULL,Wetland,Water,Wetland,Bareland
68,NULL,NULL,Wetland,Water,Wetland,Water
69,NULL,NULL,Wetland,Water,Wetland,Forest
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
76,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
80,NULL,NULL,Bareland,NULL,Non_Wetland,Water
81,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Bareland,Water,Non_Wetland,NULL
89,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
91,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
92,NULL,NULL,Bareland,Water,Non_Wetland,Water
93,NULL,NULL,Bareland,Water,Non_Wetland,Forest
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
99,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
103,NULL,NULL,Built-up,Water,Non_Wetland,NULL
104,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
105,NULL,NULL,Water,NULL,Water,NULL
106,NULL,NULL,Water,NULL,Water,Grassland
107,NULL,NULL,Water,NULL,Water,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
111,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
112,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
113,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
114,NULL,NULL,Forest,NULL,Non_Wetland,Water
115,NULL,NULL,Forest,NULL,Non_Wetland,Forest
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
119,NULL,NULL,Forest,Water,Non_Wetland,NULL
120,NULL,NULL,Forest,Water,Non_Wetland,Grassland
121,NULL,NULL,Forest,Water,Non_Wetland,Cropland
