Value,AFRICA_2024_DynamicWorld_2024_35NNE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,AFRICA_2024_WorldCover_2021_35NNE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
13,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
17,NULL,NULL,Wetland,NULL,Wetland,NULL
18,NULL,NULL,Wetland,NULL,Wetland,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,Forest
20,NULL,NULL,Wetland,Non_Water,Wetland,NULL
21,NULL,NULL,Wetland,Water,Wetland,Grassland
22,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
23,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
25,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
26,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
27,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
28,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
29,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL
31,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
32,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
33,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
34,NULL,NULL,Forest,NULL,Non_Wetland,Forest
35,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
38,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
39,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
40,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
41,NULL,Cropland,Wetland,NULL,Wetland,Grassland
42,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
43,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
44,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
45,NULL,Wetland,Wetland,NULL,Wetland,Grassland
46,NULL,Wetland,Wetland,NULL,Wetland,Forest
47,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
48,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
49,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
50,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
51,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
52,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
53,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
54,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
55,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
56,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
59,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
60,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
61,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
62,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
63,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
64,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
65,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
66,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
67,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
69,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
70,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
71,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
72,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
73,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
74,NULL,Water,Wetland,NULL,Wetland,Grassland
75,NULL,Water,Wetland,NULL,Wetland,Forest
76,NULL,Water,Forest,NULL,Non_Wetland,NULL
77,NULL,Water,Forest,NULL,Non_Wetland,Grassland
78,NULL,Water,Forest,NULL,Non_Wetland,Forest
79,NULL,Water,Forest,Water,Non_Wetland,Grassland
80,NULL,Forest,NULL,NULL,Non_Wetland,NULL
81,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
82,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
83,NULL,Forest,NULL,NULL,Non_Wetland,Forest
84,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
87,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
89,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
91,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
92,NULL,Forest,Wetland,NULL,Wetland,NULL
93,NULL,Forest,Wetland,NULL,Wetland,Grassland
94,NULL,Forest,Wetland,NULL,Wetland,Forest
95,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
96,NULL,Forest,Bareland,Water,Non_Wetland,Forest
97,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
98,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
99,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
100,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
101,NULL,Forest,Forest,NULL,Non_Wetland,NULL
102,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
103,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
104,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
105,NULL,Forest,Forest,NULL,Non_Wetland,Forest
106,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
107,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
108,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
109,NULL,Forest,Forest,Water,Non_Wetland,Grassland
110,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
111,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
112,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
113,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
114,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
115,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
117,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
118,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
119,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
120,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
121,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
