Value,AFRICA_2024_DynamicWorld_2024_38PKT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKT_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKT_M_R,AFRICA_2024_GSW_Yearly_2021_38PKT_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKT_M_R,AFRICA_2024_WorldCover_2021_38PKT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
27,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL
40,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
42,NULL,NULL,Wetland,NULL,Wetland,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
48,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Bareland,Water,Non_Wetland,NULL
60,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
61,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
70,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL
72,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
73,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
89,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
99,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
102,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
103,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
104,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
108,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
109,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
110,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
111,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
112,NULL,Bareland,Wetland,NULL,Wetland,NULL
113,NULL,Bareland,Wetland,Water,Wetland,Bareland
114,NULL,Bareland,Wetland,Water,Wetland,Water
115,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
116,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
117,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
