Value,AFRICA_2024_DynamicWorld_2024_38PLA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLA_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLA_M_R,AFRICA_2024_GSW_Yearly_2021_38PLA_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLA_M_R,AFRICA_2024_WorldCover_2021_38PLA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL
46,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
47,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,Water
50,NULL,NULL,Grassland,Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
52,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,Water
58,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL
65,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
67,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
68,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Cropland
71,NULL,NULL,Wetland,NULL,Wetland,Wetland
72,NULL,NULL,Wetland,NULL,Wetland,Bareland
73,NULL,NULL,Wetland,NULL,Wetland,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
75,NULL,NULL,Wetland,Water,Wetland,NULL
76,NULL,NULL,Wetland,Water,Wetland,Grassland
77,NULL,NULL,Wetland,Water,Wetland,Cropland
78,NULL,NULL,Wetland,Water,Wetland,Bareland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
87,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL
99,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
101,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
109,NULL,NULL,Built-up,NULL,Non_Wetland,Water
110,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
115,NULL,NULL,Built-up,Water,Non_Wetland,NULL
116,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
118,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
119,NULL,NULL,Built-up,Water,Non_Wetland,Water
