Value,AFRICA_2024_DynamicWorld_2024_36NWP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,AFRICA_2024_WorldCover_2021_36NWP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,Forest
33,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
34,NULL,NULL,Wetland,Water,Wetland,Wetland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
38,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
40,NULL,NULL,Bareland,Water,Non_Wetland,Forest
41,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
42,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
44,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
47,NULL,NULL,Water,NULL,Water,Grassland
48,NULL,NULL,Water,NULL,Water,Forest
49,NULL,NULL,Water,Water,Water,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
53,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
54,NULL,NULL,Forest,NULL,Non_Wetland,Forest
55,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Forest,Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Water,Non_Wetland,Wetland
60,NULL,NULL,Forest,Water,Non_Wetland,Forest
61,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
62,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
67,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
69,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
70,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
73,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
76,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Water,Water,Water,Grassland
78,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
80,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
81,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
82,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
83,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
84,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
87,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
88,NULL,Wetland,Wetland,NULL,Wetland,Grassland
89,NULL,Wetland,Wetland,NULL,Wetland,Wetland
90,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
91,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
92,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
93,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
94,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
95,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
102,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
103,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
104,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
105,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
106,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
109,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
110,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
112,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
113,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
114,NULL,Built-up,Wetland,NULL,Wetland,Grassland
115,NULL,Built-up,Wetland,NULL,Wetland,Forest
116,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
117,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
119,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
