Value,AFRICA_2024_DynamicWorld_2024_37PBS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,AFRICA_2024_WorldCover_2021_37PBS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Water
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
62,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Water
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
74,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
75,NULL,NULL,Forest,NULL,Non_Wetland,Forest
76,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,Water
80,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
81,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
85,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
97,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
98,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
99,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
100,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
101,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
102,NULL,Cropland,Grassland,Water,Non_Wetland,Water
103,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
109,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
110,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
111,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
112,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
113,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
114,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
115,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
