Value,AFRICA_2024_DynamicWorld_2024_36NZJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NZJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZJ_M_R,AFRICA_2024_WorldCover_2021_36NZJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL
44,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
46,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
48,NULL,NULL,Grassland,Water,Non_Wetland,Water
49,NULL,NULL,Grassland,Water,Non_Wetland,Forest
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL
59,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
61,NULL,NULL,Cropland,Water,Non_Wetland,Water
62,NULL,NULL,Wetland,NULL,Wetland,NULL
63,NULL,NULL,Wetland,NULL,Wetland,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,Bareland
66,NULL,NULL,Wetland,NULL,Wetland,Water
67,NULL,NULL,Wetland,NULL,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL
69,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
72,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
73,NULL,NULL,Wetland,Non_Water,Wetland,Forest
74,NULL,NULL,Wetland,Water,Wetland,NULL
75,NULL,NULL,Wetland,Water,Wetland,Grassland
76,NULL,NULL,Wetland,Water,Wetland,Cropland
77,NULL,NULL,Wetland,Water,Wetland,Wetland
78,NULL,NULL,Wetland,Water,Wetland,Bareland
79,NULL,NULL,Wetland,Water,Wetland,Water
80,NULL,NULL,Wetland,Water,Wetland,Forest
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
88,NULL,NULL,Bareland,NULL,Non_Wetland,Water
89,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
96,NULL,NULL,Bareland,Water,Non_Wetland,NULL
97,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
99,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
100,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,NULL,Bareland,Water,Non_Wetland,Forest
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
104,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,NULL,Built-up,Water,Non_Wetland,NULL
115,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
116,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
117,NULL,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,NULL,Water,NULL,Water,NULL
119,NULL,NULL,Water,NULL,Water,Grassland
120,NULL,NULL,Water,NULL,Water,Bareland
121,NULL,NULL,Water,Non_Water,Water,Grassland
122,NULL,NULL,Water,Non_Water,Water,Wetland
