Value,AFRICA_2024_DynamicWorld_2024_37NHH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHH_M_R,AFRICA_2024_WorldCover_2021_37NHH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL
48,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
50,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
51,NULL,NULL,Cropland,Water,Non_Wetland,Forest
52,NULL,NULL,Wetland,NULL,Wetland,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,Cropland
55,NULL,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,NULL,Wetland,NULL,Wetland,Bareland
57,NULL,NULL,Wetland,NULL,Wetland,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
60,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
61,NULL,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,NULL,Wetland,Water,Wetland,Grassland
63,NULL,NULL,Wetland,Water,Wetland,Cropland
64,NULL,NULL,Wetland,Water,Wetland,Bareland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
77,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
87,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
90,NULL,NULL,Built-up,Water,Non_Wetland,Forest
91,NULL,NULL,Water,NULL,Water,Grassland
92,NULL,NULL,Water,NULL,Water,Cropland
93,NULL,NULL,Water,NULL,Water,Bareland
94,NULL,NULL,Water,Non_Water,Water,Grassland
95,NULL,NULL,Water,Non_Water,Water,Cropland
96,NULL,NULL,Water,Non_Water,Water,Bareland
97,NULL,NULL,Water,Water,Water,Grassland
98,NULL,NULL,Water,Water,Water,Cropland
99,NULL,NULL,Water,Water,Water,Bareland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL
101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,Water
104,NULL,NULL,Forest,NULL,Non_Wetland,Forest
105,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
108,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
109,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
110,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
