Value,AFRICA_2024_DynamicWorld_2024_36NWK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,AFRICA_2024_WorldCover_2021_36NWK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Wetland,NULL,Wetland,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Wetland,Water,Wetland,Water
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
48,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
50,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
56,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
57,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
58,NULL,NULL,Water,NULL,Water,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
62,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
63,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
64,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
65,NULL,NULL,Forest,NULL,Non_Wetland,Water
66,NULL,NULL,Forest,NULL,Non_Wetland,Forest
67,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
68,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
69,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
78,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
92,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
93,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
98,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
100,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
101,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
102,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
103,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
104,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
105,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
118,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
119,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
