Value,AFRICA_2024_DynamicWorld_2024_35NNH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNH_M_R,AFRICA_2024_GSW_Yearly_2021_35NNH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNH_M_R,AFRICA_2024_WorldCover_2021_35NNH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Wetland,NULL,Wetland,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Forest
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL
41,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,Forest
43,NULL,NULL,Wetland,Water,Wetland,Grassland
44,NULL,NULL,Wetland,Water,Wetland,Forest
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
46,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
49,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
50,NULL,NULL,Water,Water,Water,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
54,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
55,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
56,NULL,NULL,Forest,NULL,Non_Wetland,Forest
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Forest,Water,Non_Wetland,NULL
62,NULL,NULL,Forest,Water,Non_Wetland,Grassland
63,NULL,NULL,Forest,Water,Non_Wetland,Wetland
64,NULL,NULL,Forest,Water,Non_Wetland,Forest
65,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
66,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
73,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
75,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
77,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
78,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
79,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
80,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
87,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
88,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
89,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
91,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
92,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
94,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
95,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
96,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
97,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
98,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
99,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
100,NULL,Water,NULL,NULL,Non_Wetland,Grassland
101,NULL,Water,NULL,Water,Non_Wetland,Forest
102,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
104,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
105,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
106,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
107,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
108,NULL,Water,Shrubland,Water,Non_Wetland,Forest
109,NULL,Water,Wetland,NULL,Wetland,Grassland
110,NULL,Water,Wetland,NULL,Wetland,Forest
111,NULL,Water,Wetland,Non_Water,Wetland,Forest
112,NULL,Water,Forest,NULL,Non_Wetland,Grassland
113,NULL,Water,Forest,NULL,Non_Wetland,Forest
114,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
115,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
116,NULL,Water,Forest,Water,Non_Wetland,NULL
117,NULL,Water,Forest,Water,Non_Wetland,Grassland
118,NULL,Forest,NULL,NULL,Non_Wetland,NULL
119,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
120,NULL,Forest,NULL,NULL,Non_Wetland,Forest
121,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
