Value,AFRICA_2024_DynamicWorld_2024_37PFQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PFQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFQ_M_R,AFRICA_2024_WorldCover_2021_37PFQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Cropland,NULL,Non_Wetland,Water
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Wetland,NULL,Wetland,NULL
30,NULL,NULL,Wetland,NULL,Wetland,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,Bareland
32,NULL,NULL,Wetland,NULL,Wetland,Forest
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
39,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
45,NULL,NULL,Bareland,Water,Non_Wetland,NULL
46,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
53,NULL,NULL,Water,NULL,Water,NULL
54,NULL,NULL,Water,NULL,Water,Grassland
55,NULL,NULL,Water,NULL,Water,Bareland
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
63,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
64,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
65,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
81,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
82,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
84,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
85,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
86,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
88,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
89,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
93,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
96,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
97,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
98,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
99,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
100,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
101,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
102,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
103,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
104,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
105,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
106,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
107,NULL,Wetland,Cropland,NULL,Non_Wetland,Water
108,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
109,NULL,Wetland,Wetland,NULL,Wetland,NULL
110,NULL,Wetland,Wetland,NULL,Wetland,Cropland
111,NULL,Wetland,Wetland,NULL,Wetland,Wetland
112,NULL,Wetland,Wetland,NULL,Wetland,Bareland
113,NULL,Wetland,Wetland,NULL,Wetland,Water
114,NULL,Wetland,Wetland,NULL,Wetland,Forest
115,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
116,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
117,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
118,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
