Value,AFRICA_2024_DynamicWorld_2024_36PUV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUV_M_R,AFRICA_2024_GSW_Yearly_2021_36PUV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUV_M_R,AFRICA_2024_WorldCover_2021_36PUV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL
45,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
47,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,Water
50,NULL,NULL,Grassland,Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
52,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL
65,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
67,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
68,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
69,NULL,NULL,Cropland,Water,Non_Wetland,Water
70,NULL,NULL,Cropland,Water,Non_Wetland,Forest
71,NULL,NULL,Wetland,NULL,Wetland,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,Cropland
74,NULL,NULL,Wetland,NULL,Wetland,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,Forest
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL
77,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
78,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
79,NULL,NULL,Wetland,Non_Water,Wetland,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
99,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
105,NULL,NULL,Forest,NULL,Non_Wetland,Forest
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
111,NULL,NULL,Forest,Water,Non_Wetland,NULL
112,NULL,NULL,Forest,Water,Non_Wetland,Grassland
113,NULL,NULL,Forest,Water,Non_Wetland,Wetland
114,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
115,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
116,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
117,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
119,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
