Value,AFRICA_2024_DynamicWorld_2024_37PCL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCL_M_R,AFRICA_2024_GSW_Yearly_2021_37PCL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCL_M_R,AFRICA_2024_WorldCover_2021_37PCL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
44,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL
59,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Water
63,NULL,NULL,Wetland,NULL,Wetland,Wetland
64,NULL,NULL,Wetland,NULL,Wetland,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
66,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
67,NULL,NULL,Wetland,Water,Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
78,NULL,NULL,Bareland,NULL,Non_Wetland,Water
79,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
85,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
86,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,NULL,Bareland,Water,Non_Wetland,Forest
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
90,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
95,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
98,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
99,NULL,NULL,Water,NULL,Water,Grassland
100,NULL,NULL,Water,NULL,Water,Cropland
101,NULL,NULL,Water,Non_Water,Water,Wetland
102,NULL,NULL,Water,Water,Water,Wetland
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,Water
110,NULL,NULL,Forest,NULL,Non_Wetland,Forest
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
116,NULL,NULL,Forest,Water,Non_Wetland,NULL
117,NULL,NULL,Forest,Water,Non_Wetland,Grassland
118,NULL,NULL,Forest,Water,Non_Wetland,Cropland
119,NULL,NULL,Forest,Water,Non_Wetland,Wetland
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
